name,date_released,Rulings_per_card,Total_rulings,Cards_per_set,Words_per_Card,Total_Words_in_Set
Innistrad,2011-09-30,1.3503937007874,343,254,20.4015748031496,5182
Dark Ascension,2012-02-03,1.58860759493671,251,158,25.3101265822785,3999
Avacyn Restored,2012-05-04,1.33333333333333,312,234,20.974358974359,4908
Magic 2013,2012-07-13,1.22222222222222,286,234,17.3717948717949,4065
Return to Ravnica,2012-10-05,2.0511811023622,521,254,20.5590551181102,5222
Gatecrash,2013-02-01,2.27710843373494,567,249,22.3775100401606,5572
Dragon's Maze,2013-05-03,2.94871794871795,460,156,23.9551282051282,3737
Magic 2014,2013-07-19,1.44871794871795,339,234,17.5982905982906,4118
Theros,2013-09-27,2.51709401709402,589,234,23.7435897435897,5556
Born of the Gods,2014-02-07,3.4969696969697,577,165,26.0848484848485,4304
Journey into Nyx,2014-05-02,2.84848484848485,470,165,23.6484848484848,3902
Magic 2015,2014-07-18,1.74349442379182,469,269,21.8252788104089,5871
Khans of Tarkir,2014-09-26,2.64566929133858,672,254,22.4842519685039,5711
Fate Reforged,2015-01-23,3.24444444444444,584,180,26.8222222222222,4828
Dragons of Tarkir,2015-03-27,2.39763779527559,609,254,26.4724409448819,6724
Magic Origins,2015-07-17,1.72527472527473,471,273,24.3589743589744,6650
Battle for Zendikar,2015-10-02,3.54330708661417,900,254,24.1220472440945,6127
Oath of the Gatewatch,2016-01-22,1.54644808743169,283,183,23.9016393442623,4374
Shadows over Innistrad,2016-04-08,2.57491289198606,739,287,25.8780487804878,7427
Eldritch Moon,2016-07-22,2.59134615384615,539,208,26.0240384615385,5413
Kaladesh,2016-09-30,3.07954545454545,813,264,23.0151515151515,6076
Aether Revolt,2017-01-20,3.9639175257732,769,194,24.8041237113402,4812
Amonkhet,2017-04-28,2.52573529411765,687,272,23.4448529411765,6377
Hour of Devastation,2017-07-14,2.84924623115578,567,199,24.7537688442211,4926
Ixalan,2017-09-29,1.75182481751825,480,274,21.6496350364963,5932
Rivals of Ixalan,2018-01-19,2.0780487804878,426,205,23.6536585365854,4849
Dominaria,2018-04-27,1.8188679245283,482,265,23.3735849056604,6194
Core Set 2019,2018-07-13,1.10033444816054,329,299,18.7658862876254,5611
Guilds of Ravnica,2018-10-05,2.13059701492537,571,268,24.0858208955224,6455
Ravnica Allegiance,2019-01-25,1.77611940298507,476,268,23.0223880597015,6170
War of the Spark,2019-05-03,2.44360902255639,650,266,26.484962406015,7045
Core Set 2020,2019-07-12,1.34954407294833,444,329,21.1155015197568,6947
Throne of Eldraine,2019-10-04,3.34843205574913,961,287,26.7282229965157,7671
Theros Beyond Death,2020-01-24,3.32967032967033,909,273,26.8571428571429,7332
Ikoria: Lair of Behemoths,2020-04-24,2.13533834586466,568,266,27.5692883895131,7361
Core Set 2021,2020-07-03,1.60701754385965,458,285,24.1578947368421,6885
Zendikar Rising,2020-09-25,4.22027972027972,1207,286,29.7482517482517,8508
Kaldheim,2021-02-05,3.65740740740741,1185,324,33.6861538461538,10948
Strixhaven: School of Mages,2021-04-23,2.02413793103448,587,290,30.4310344827586,8825
Adventures in the Forgotten Realms,2021-07-23,2.82986111111111,815,288,34.2430555555556,9862
Innistrad: Midnight Hunt,2021-09-24,3.24642857142857,909,280,35.2392857142857,9867
Innistrad: Crimson Vow,2021-11-19,0.929577464788732,264,284,34.806338028169,9885
Kamigawa: Neon Dynasty,2022-02-18,2.36513157894737,719,304,35.6655737704918,10878
Streets of New Capenna,2022-04-29,1.4741935483871,457,310,30.8392282958199,9591
Dominaria United,2022-09-09,1.72324723247232,467,271,33.4926470588235,9110
The Brothers' War,2022-11-18,2.29537366548043,645,281,31.0533807829181,8726
Phyrexia: All Will Be One,2023-02-03,2.65313653136531,719,271,33.0627306273063,8960
March of the Machine,2023-04-21,3.44932432432432,1021,296,41.5,12284
March of the Machine: The Aftermath,2023-05-12,0.16,8,50,40.78,2039
